 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : Top
Version: R-2020.09-SP5
Date   : Fri May 20 01:52:24 2022
****************************************

 # A fanout number of 1000 was used for high fanout net computations.

Operating Conditions: WCCOM   Library: fsa0m_a_generic_core_ss1p62v125c
Wire Load Model Mode: enclosed

  Startpoint: i_mode (input port clocked by clk)
  Endpoint: aes_top/temp_out_r_reg[119]
            (rising edge-triggered flip-flop clocked by clk)
  Path Group: clk
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  aes_top/oneround/invshift/U16/O (BUF1)                  0.18      36.82 f
  aes_top/oneround/invshift/out[36] (InvShiftRow)         0.00      36.82 f
  aes_top/oneround/U503/O (MUX2)                          0.34      37.17 f
  aes_top/oneround/sub96/in[4] (SubByte_96)               0.00      37.17 f
  aes_top/oneround/sub96/s11/in[4] (SubOneByte_0)         0.00      37.17 f
  aes_top/oneround/sub96/s11/m1/in[4] (MultiplyMinv_0)
                                                          0.00      37.17 f
  aes_top/oneround/sub96/s11/m1/U1/O (MOAI1S)             0.59      37.75 r
  aes_top/oneround/sub96/s11/m1/U3/O (MOAI1S)             0.16      37.92 f
  aes_top/oneround/sub96/s11/m1/out[2] (MultiplyMinv_0)
                                                          0.00      37.92 f
  aes_top/oneround/sub96/s11/c0/in[2] (AddCinv_0)         0.00      37.92 f
  aes_top/oneround/sub96/s11/c0/U2/O (INV1S)              0.12      38.04 r
  aes_top/oneround/sub96/s11/c0/out[2] (AddCinv_0)        0.00      38.04 r
  aes_top/oneround/sub96/s11/U445/O (MUX2)                0.28      38.31 r
  aes_top/oneround/sub96/s11/U450/O (INV1S)               0.17      38.48 f
  aes_top/oneround/sub96/s11/U47/O (ND2S)                 0.46      38.94 r
  aes_top/oneround/sub96/s11/U134/O (INV1S)               0.22      39.16 f
  aes_top/oneround/sub96/s11/U135/O (ND2S)                0.40      39.56 r
  aes_top/oneround/sub96/s11/U137/O (INV1S)               0.17      39.72 f
  aes_top/oneround/sub96/s11/U163/O (NR2)                 0.18      39.90 r
  aes_top/oneround/sub96/s11/U318/O (AN4B1S)              0.35      40.25 r
  aes_top/oneround/sub96/s11/U322/O (AN2)                 0.21      40.46 r
  aes_top/oneround/sub96/s11/U355/O (AN4B1S)              0.23      40.69 r
  aes_top/oneround/sub96/s11/U356/O (ND3)                 0.10      40.80 f
  aes_top/oneround/sub96/s11/U382/O (AOI22S)              0.22      41.02 r
  aes_top/oneround/sub96/s11/U401/O (ND2S)                0.21      41.23 f
  aes_top/oneround/sub96/s11/m0/in[2] (MultiplyM_0)       0.00      41.23 f
  aes_top/oneround/sub96/s11/m0/U6/O (MOAI1S)             0.85      42.08 r
  aes_top/oneround/sub96/s11/m0/U15/O (MOAI1S)            0.14      42.22 f
  aes_top/oneround/sub96/s11/m0/out[4] (MultiplyM_0)      0.00      42.22 f
  aes_top/oneround/sub96/s11/c1/in[4] (AddC_0)            0.00      42.22 f
  aes_top/oneround/sub96/s11/c1/U7/O (BUF1)               0.22      42.44 f
  aes_top/oneround/sub96/s11/c1/out[4] (AddC_0)           0.00      42.44 f
  aes_top/oneround/sub96/s11/U342/O (MUX2)                0.27      42.71 f
  aes_top/oneround/sub96/s11/out[4] (SubOneByte_0)        0.00      42.71 f
  aes_top/oneround/sub96/out[4] (SubByte_96)              0.00      42.71 f
  aes_top/oneround/U895/O (AO222)                         0.34      43.05 f
  aes_top/oneround/add/in[4] (AddRoundKey_0)              0.00      43.05 f
  aes_top/oneround/add/U8/O (MAOI1)                       0.18      43.23 r
  aes_top/oneround/add/out[4] (AddRoundKey_0)             0.00      43.23 r
  aes_top/oneround/U561/O (INV1S)                         0.19      43.42 f
  aes_top/oneround/U19/O (MOAI1S)                         1.11      44.53 r
  aes_top/oneround/mix/in[4] (MixColumn)                  0.00      44.53 r
  aes_top/oneround/mix/U8/O (INV1S)                       0.10      44.62 f
  aes_top/oneround/mix/U10/O (INV1S)                      0.25      44.87 r
  aes_top/oneround/mix/U821/O (MOAI1S)                    0.22      45.10 f
  aes_top/oneround/mix/U872/O (MOAI1S)                    0.34      45.44 f
  aes_top/oneround/mix/out[12] (MixColumn)                0.00      45.44 f
  aes_top/oneround/U909/O (AO222)                         0.46      45.89 f
  aes_top/oneround/add/in[12] (AddRoundKey_0)             0.00      45.89 f
  aes_top/oneround/add/U112/O (MAOI1)                     0.23      46.13 f
  aes_top/oneround/add/out[12] (AddRoundKey_0)            0.00      46.13 f
  aes_top/oneround/U504/O (INV1S)                         0.20      46.33 r
  aes_top/oneround/U505/O (MOAI1S)                        0.15      46.47 f
  aes_top/oneround/U506/O (MUX2)                          0.39      46.86 f
  aes_top/oneround/sub96/in[44] (SubByte_96)              0.00      46.86 f
  aes_top/oneround/sub96/s6/in[4] (SubOneByte_5)          0.00      46.86 f
  aes_top/oneround/sub96/s6/m1/in[4] (MultiplyMinv_5)     0.00      46.86 f
  aes_top/oneround/sub96/s6/m1/U1/O (MOAI1S)              0.59      47.45 r
  aes_top/oneround/sub96/s6/m1/U3/O (MOAI1S)              0.22      47.66 r
  aes_top/oneround/sub96/s6/m1/out[2] (MultiplyMinv_5)
                                                          0.00      47.66 r
  aes_top/oneround/sub96/s6/c0/in[2] (AddCinv_5)          0.00      47.66 r
  aes_top/oneround/sub96/s6/c0/U2/O (INV1S)               0.11      47.78 f
  aes_top/oneround/sub96/s6/c0/out[2] (AddCinv_5)         0.00      47.78 f
  aes_top/oneround/sub96/s6/U67/O (AOI22S)                0.40      48.18 r
  aes_top/oneround/sub96/s6/U468/O (NR2)                  0.14      48.31 f
  aes_top/oneround/sub96/s6/U9/O (ND2S)                   0.31      48.62 r
  aes_top/oneround/sub96/s6/U55/O (INV1S)                 0.31      48.93 f
  aes_top/oneround/sub96/s6/U58/O (ND2S)                  0.45      49.38 r
  aes_top/oneround/sub96/s6/U181/O (INV1S)                0.28      49.66 f
  aes_top/oneround/sub96/s6/U205/O (NR2)                  0.19      49.86 r
  aes_top/oneround/sub96/s6/U208/O (ND3)                  0.09      49.94 f
  aes_top/oneround/sub96/s6/U209/O (NR3)                  0.32      50.27 r
  aes_top/oneround/sub96/s6/U210/O (ND3)                  0.10      50.37 f
  aes_top/oneround/sub96/s6/U211/O (NR3)                  0.25      50.62 r
  aes_top/oneround/sub96/s6/U287/O (ND3)                  0.11      50.73 f
  aes_top/oneround/sub96/s6/U391/O (AOI22S)               0.20      50.93 r
  aes_top/oneround/sub96/s6/U413/O (ND2S)                 0.20      51.13 f
  aes_top/oneround/sub96/s6/m0/in[2] (MultiplyM_5)        0.00      51.13 f
  aes_top/oneround/sub96/s6/m0/U6/O (MOAI1S)              0.84      51.97 r
  aes_top/oneround/sub96/s6/m0/U16/O (MOAI1S)             0.10      52.08 f
  aes_top/oneround/sub96/s6/m0/out[2] (MultiplyM_5)       0.00      52.08 f
  aes_top/oneround/sub96/s6/c1/in[2] (AddC_5)             0.00      52.08 f
  aes_top/oneround/sub96/s6/c1/U5/O (BUF1)                0.21      52.29 f
  aes_top/oneround/sub96/s6/c1/out[2] (AddC_5)            0.00      52.29 f
  aes_top/oneround/sub96/s6/U414/O (MUX2)                 0.27      52.56 f
  aes_top/oneround/sub96/s6/out[2] (SubOneByte_5)         0.00      52.56 f
  aes_top/oneround/sub96/out[42] (SubByte_96)             0.00      52.56 f
  aes_top/oneround/U907/O (AO222)                         0.34      52.90 f
  aes_top/oneround/add/in[10] (AddRoundKey_0)             0.00      52.90 f
  aes_top/oneround/add/U106/O (MAOI1)                     0.18      53.08 r
  aes_top/oneround/add/out[10] (AddRoundKey_0)            0.00      53.08 r
  aes_top/oneround/U445/O (INV1S)                         0.19      53.27 f
  aes_top/oneround/U21/O (MOAI1S)                         1.26      54.53 r
  aes_top/oneround/mix/in[10] (MixColumn)                 0.00      54.53 r
  aes_top/oneround/mix/U22/O (INV1S)                      0.10      54.62 f
  aes_top/oneround/mix/U24/O (INV1S)                      0.21      54.83 r
  aes_top/oneround/mix/U549/O (MOAI1S)                    0.28      55.11 f
  aes_top/oneround/mix/U197/O (INV1S)                     0.14      55.25 r
  aes_top/oneround/mix/U198/O (INV1S)                     0.21      55.46 f
  aes_top/oneround/mix/U776/O (MOAI1S)                    0.38      55.84 f
  aes_top/oneround/mix/U786/O (MOAI1S)                    0.35      56.19 f
  aes_top/oneround/mix/U787/O (MOAI1S)                    0.36      56.55 f
  aes_top/oneround/mix/U788/O (MOAI1S)                    0.31      56.85 f
  aes_top/oneround/mix/out_inv[19] (MixColumn)            0.00      56.85 f
  aes_top/oneround/U755/O (MOAI1S)                        0.31      57.17 f
  aes_top/oneround/invshift/in[19] (InvShiftRow)          0.00      57.17 f
  aes_top/oneround/invshift/U47/O (BUF1)                  0.18      57.35 f
  aes_top/oneround/invshift/out[115] (InvShiftRow)        0.00      57.35 f
  aes_top/oneround/U886/O (MUX2)                          0.34      57.69 f
  aes_top/oneround/sub96/in[83] (SubByte_96)              0.00      57.69 f
  aes_top/oneround/sub96/s1/in[3] (SubOneByte_10)         0.00      57.69 f
  aes_top/oneround/sub96/s1/m1/in[3] (MultiplyMinv_10)
                                                          0.00      57.69 f
  aes_top/oneround/sub96/s1/m1/U10/O (MOAI1S)             0.58      58.28 r
  aes_top/oneround/sub96/s1/m1/U11/O (MOAI1S)             0.21      58.48 r
  aes_top/oneround/sub96/s1/m1/out[6] (MultiplyMinv_10)
                                                          0.00      58.48 r
  aes_top/oneround/sub96/s1/c0/in[6] (AddCinv_10)         0.00      58.48 r
  aes_top/oneround/sub96/s1/c0/U7/O (BUF1)                0.14      58.63 r
  aes_top/oneround/sub96/s1/c0/out[6] (AddCinv_10)        0.00      58.63 r
  aes_top/oneround/sub96/s1/U270/O (MUX2)                 0.26      58.89 r
  aes_top/oneround/sub96/s1/U451/O (INV1S)                0.15      59.04 f
  aes_top/oneround/sub96/s1/U22/O (AN2)                   0.25      59.28 f
  aes_top/oneround/sub96/s1/U71/O (ND2S)                  0.39      59.67 r
  aes_top/oneround/sub96/s1/U248/O (INV1S)                0.21      59.88 f
  aes_top/oneround/sub96/s1/U250/O (ND2S)                 0.31      60.19 r
  aes_top/oneround/sub96/s1/U252/O (OR2B1S)               0.13      60.32 f
  aes_top/oneround/sub96/s1/U256/O (OR3B2S)               0.20      60.53 f
  aes_top/oneround/sub96/s1/U258/O (AN4B1S)               0.29      60.82 r
  aes_top/oneround/sub96/s1/U347/O (ND3)                  0.11      60.93 f
  aes_top/oneround/sub96/s1/U323/O (AOI22S)               0.22      61.15 r
  aes_top/oneround/sub96/s1/U418/O (ND2S)                 0.22      61.37 f
  aes_top/oneround/sub96/s1/m0/in[4] (MultiplyM_10)       0.00      61.37 f
  aes_top/oneround/sub96/s1/m0/U15/O (MOAI1S)             0.27      61.64 r
  aes_top/oneround/sub96/s1/m0/out[0] (MultiplyM_10)      0.00      61.64 r
  aes_top/oneround/sub96/s1/c1/in[0] (AddC_10)            0.00      61.64 r
  aes_top/oneround/sub96/s1/c1/U1/O (INV1S)               0.09      61.73 f
  aes_top/oneround/sub96/s1/c1/out[0] (AddC_10)           0.00      61.73 f
  aes_top/oneround/sub96/s1/U427/O (MUX2)                 0.29      62.02 f
  aes_top/oneround/sub96/s1/out[0] (SubOneByte_10)        0.00      62.02 f
  aes_top/oneround/sub96/out[80] (SubByte_96)             0.00      62.02 f
  aes_top/oneround/U915/O (AO222)                         0.34      62.36 f
  aes_top/oneround/add/in[16] (AddRoundKey_0)             0.00      62.36 f
  aes_top/oneround/add/U127/O (MAOI1)                     0.23      62.59 f
  aes_top/oneround/add/out[16] (AddRoundKey_0)            0.00      62.59 f
  aes_top/oneround/U428/O (INV1S)                         0.20      62.79 r
  aes_top/oneround/U430/O (MOAI1S)                        0.15      62.94 f
  aes_top/oneround/U432/O (MUX2)                          0.38      63.32 f
  aes_top/oneround/sub96/in[80] (SubByte_96)              0.00      63.32 f
  aes_top/oneround/sub96/s1/in[0] (SubOneByte_10)         0.00      63.32 f
  aes_top/oneround/sub96/s1/U271/O (MUX2)                 0.33      63.65 f
  aes_top/oneround/sub96/s1/U272/O (ND2S)                 0.24      63.89 r
  aes_top/oneround/sub96/s1/U45/O (OR2)                   0.32      64.21 r
  aes_top/oneround/sub96/s1/U259/O (NR2)                  0.13      64.34 f
  aes_top/oneround/sub96/s1/U262/O (AN4B1S)               0.16      64.50 r
  aes_top/oneround/sub96/s1/U263/O (ND3)                  0.10      64.61 f
  aes_top/oneround/sub96/s1/U417/O (AOI22S)               0.23      64.83 r
  aes_top/oneround/sub96/s1/U387/O (ND2S)                 0.22      65.05 f
  aes_top/oneround/sub96/s1/m0/in[0] (MultiplyM_10)       0.00      65.05 f
  aes_top/oneround/sub96/s1/m0/U5/O (MOAI1S)              0.60      65.65 r
  aes_top/oneround/sub96/s1/m0/U8/O (MOAI1S)              0.21      65.86 r
  aes_top/oneround/sub96/s1/m0/out[1] (MultiplyM_10)      0.00      65.86 r
  aes_top/oneround/sub96/s1/c1/in[1] (AddC_10)            0.00      65.86 r
  aes_top/oneround/sub96/s1/c1/U2/O (INV1S)               0.09      65.95 f
  aes_top/oneround/sub96/s1/c1/out[1] (AddC_10)           0.00      65.95 f
